source,target,weight,Type
542,2081,16,Undirected
542,751,45,Undirected
542,5214,32,Undirected
542,4765,11,Undirected
542,3111,66,Undirected
542,1961,10,Undirected
542,770,123,Undirected
542,773,43,Undirected
542,70,71,Undirected
542,3719,23,Undirected
542,3128,22,Undirected
542,3129,19,Undirected
542,3126,26,Undirected
542,3125,18,Undirected
542,1316,8,Undirected
542,123,16,Undirected
542,764,40,Undirected
542,2147,46,Undirected
542,2144,11,Undirected
542,2149,27,Undirected
542,784,14,Undirected
542,1647,9,Undirected
542,781,16,Undirected
542,3619,27,Undirected
542,60,197,Undirected
542,64,62,Undirected
542,65,360,Undirected
542,251,16,Undirected
542,736,20,Undirected
542,738,129,Undirected
542,3727,33,Undirected
542,2519,10,Undirected
542,2515,38,Undirected
542,2516,28,Undirected
542,5058,22,Undirected
542,5056,17,Undirected
542,1891,65,Undirected
542,3916,22,Undirected
542,3912,11,Undirected
542,5206,16,Undirected
542,5209,15,Undirected
542,5064,38,Undirected
542,2846,10,Undirected
542,1784,16,Undirected
542,1785,15,Undirected
542,3325,99,Undirected
542,3326,22,Undirected
542,260,27,Undirected
542,5514,15,Undirected
542,2490,48,Undirected
542,2501,9,Undirected
542,114,25,Undirected
542,2076,8,Undirected
542,1980,14,Undirected
542,750,84,Undirected
542,754,21,Undirected
542,759,256,Undirected
542,3073,182,Undirected
542,3077,16,Undirected
542,722,118,Undirected
542,1745,135,Undirected
542,1740,107,Undirected
542,994,41,Undirected
542,3736,10,Undirected
542,3735,14,Undirected
542,1897,14,Undirected
542,2136,143,Undirected
542,2131,488,Undirected
542,3107,465,Undirected
542,3100,86,Undirected
542,3103,32,Undirected
542,2503,80,Undirected
542,3119,77,Undirected
540,3921,8,Undirected
540,810,18,Undirected
540,813,14,Undirected
540,1664,16,Undirected
540,3029,488,Undirected
540,3589,11,Undirected
540,3096,16,Undirected
540,3099,197,Undirected
540,3895,15,Undirected
540,5066,38,Undirected
540,4469,9,Undirected
540,1887,20,Undirected
540,1886,27,Undirected
540,3119,112,Undirected
540,3115,465,Undirected
